,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,week,month,revenue,lag_week,lag_q,lag_unit_price
383287,536685,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/2/2010 12:23,2.55,17850.0,United Kingdom,48,12,30.599999999999998,48.0,6.0,2.55
383302,536690,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 12:25,2.55,17850.0,United Kingdom,48,12,15.299999999999999,48.0,12.0,2.55
390553,536749,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/2/2010 13:49,2.95,17976.0,United Kingdom,48,12,2.95,48.0,6.0,2.55
383321,536750,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/2/2010 14:04,2.55,17850.0,United Kingdom,48,12,30.599999999999998,48.0,1.0,2.95
383342,536752,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 14:06,2.55,17850.0,United Kingdom,48,12,15.299999999999999,48.0,12.0,2.55
363719,536763,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/2/2010 14:42,2.95,17685.0,United Kingdom,48,12,35.400000000000006,48.0,6.0,2.55
383363,536787,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 15:24,2.55,17850.0,United Kingdom,48,12,15.299999999999999,48.0,12.0,2.95
383378,536790,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/2/2010 15:26,2.95,17850.0,United Kingdom,48,12,35.400000000000006,48.0,6.0,2.55
234183,536795,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/2/2010 15:40,2.55,15640.0,United Kingdom,48,12,81.6,48.0,12.0,2.95
94811,536824,85123A,WHITE HANGING HEART T-LIGHT HOLDER,160,12/2/2010 17:24,2.55,13798.0,United Kingdom,48,12,408.0,48.0,32.0,2.55
404613,536833,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 17:48,2.95,18239.0,United Kingdom,48,12,17.700000000000003,48.0,160.0,2.55
136789,536837,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/2/2010 18:15,2.95,14395.0,United Kingdom,48,12,5.9,48.0,6.0,2.95
310267,536857,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/3/2010 10:33,2.95,16883.0,United Kingdom,48,12,5.9,48.0,2.0,2.95
38371,536859,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/3/2010 10:43,2.95,12841.0,United Kingdom,48,12,5.9,48.0,2.0,2.95
389820,536863,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/3/2010 11:19,2.95,17967.0,United Kingdom,48,12,5.9,48.0,2.0,2.95
408665,536876,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/3/2010 11:36,5.91,,United Kingdom,48,12,29.55,48.0,2.0,2.95
168910,536976,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,12/3/2010 14:18,2.95,14723.0,United Kingdom,48,12,20.650000000000002,48.0,5.0,5.91
409064,536982,85123a,WHITE HANGING HEART T-LIGHT HOLDER,35,12/3/2010 14:27,6.77,,United Kingdom,48,12,236.95,48.0,7.0,2.95
330000,536987,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/3/2010 14:54,2.95,17198.0,United Kingdom,48,12,17.700000000000003,48.0,35.0,6.77
137139,536993,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/3/2010 15:19,2.95,14396.0,United Kingdom,48,12,2.95,48.0,6.0,2.95
393247,537044,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/5/2010 10:52,2.95,18055.0,United Kingdom,48,12,17.700000000000003,48.0,1.0,2.95
396394,537046,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/5/2010 10:58,2.95,18109.0,United Kingdom,48,12,2.95,48.0,6.0,2.95
237887,537051,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/5/2010 11:12,2.95,15708.0,United Kingdom,48,12,8.850000000000001,48.0,1.0,2.95
237891,537051,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/5/2010 11:12,2.95,15708.0,United Kingdom,48,12,5.9,48.0,3.0,2.95
315310,537054,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/5/2010 11:40,2.95,16931.0,United Kingdom,48,12,5.9,48.0,2.0,2.95
315317,537054,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/5/2010 11:40,2.95,16931.0,United Kingdom,48,12,2.95,48.0,2.0,2.95
306979,537055,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/5/2010 11:45,2.95,16814.0,United Kingdom,48,12,17.700000000000003,48.0,1.0,2.95
397420,537126,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/5/2010 12:13,2.95,18118.0,United Kingdom,48,12,2.95,48.0,6.0,2.95
96530,537127,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,12/5/2010 12:13,2.55,13831.0,United Kingdom,48,12,326.4,48.0,1.0,2.95
330368,537138,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/5/2010 12:44,2.95,17211.0,United Kingdom,48,12,8.850000000000001,48.0,128.0,2.55
249852,537144,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/5/2010 13:00,2.95,15880.0,United Kingdom,48,12,2.95,48.0,3.0,2.95
252532,537210,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/5/2010 15:15,2.55,15953.0,United Kingdom,48,12,81.6,48.0,1.0,2.95
60389,537224,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/5/2010 16:24,2.95,13174.0,United Kingdom,48,12,35.400000000000006,48.0,32.0,2.55
409670,537237,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/6/2010 9:58,5.91,,United Kingdom,49,12,11.82,48.0,12.0,2.95
402906,537239,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/6/2010 10:05,2.95,18219.0,United Kingdom,49,12,17.700000000000003,49.0,2.0,5.91
410221,537240,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,12/6/2010 10:08,5.91,,United Kingdom,49,12,53.19,49.0,6.0,2.95
170842,537242,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/6/2010 10:19,2.95,14748.0,United Kingdom,49,12,17.700000000000003,49.0,9.0,5.91
247900,537301,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/6/2010 11:38,2.95,15860.0,United Kingdom,49,12,11.8,49.0,6.0,2.95
134491,537332,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,12/6/2010 11:58,2.95,14344.0,United Kingdom,49,12,70.80000000000001,49.0,4.0,2.95
298129,537334,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/6/2010 12:06,2.95,16719.0,United Kingdom,49,12,17.700000000000003,49.0,24.0,2.95
363584,537388,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/6/2010 13:35,2.95,17682.0,United Kingdom,49,12,35.400000000000006,49.0,6.0,2.95
52347,537393,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/6/2010 13:59,2.55,13089.0,United Kingdom,49,12,81.6,49.0,12.0,2.95
214888,537395,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/6/2010 14:05,2.95,15356.0,United Kingdom,49,12,5.9,49.0,32.0,2.55
329666,537400,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/6/2010 14:36,2.95,17191.0,United Kingdom,49,12,17.700000000000003,49.0,2.0,2.95
78520,537419,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/6/2010 15:14,2.55,13495.0,United Kingdom,49,12,81.6,49.0,6.0,2.95
232339,537424,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/6/2010 15:35,2.95,15602.0,United Kingdom,49,12,17.700000000000003,49.0,32.0,2.55
410946,537434,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,12/6/2010 16:57,5.91,,United Kingdom,49,12,82.74000000000001,49.0,6.0,2.95
393279,537446,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/7/2010 9:13,2.95,18055.0,United Kingdom,49,12,17.700000000000003,49.0,14.0,5.91
350256,537457,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/7/2010 9:51,2.55,17511.0,United Kingdom,49,12,81.6,49.0,6.0,2.95
358976,537460,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,12/7/2010 10:04,2.55,17616.0,United Kingdom,49,12,326.4,49.0,32.0,2.55
170009,537484,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/7/2010 11:30,2.55,14733.0,United Kingdom,49,12,81.6,49.0,128.0,2.55
123737,537523,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/7/2010 11:45,2.95,14176.0,United Kingdom,49,12,17.700000000000003,49.0,32.0,2.55
77948,537604,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/7/2010 13:01,2.55,13488.0,United Kingdom,49,12,81.6,49.0,6.0,2.95
268884,537605,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/7/2010 13:13,2.95,16221.0,United Kingdom,49,12,14.75,49.0,32.0,2.55
189794,537606,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,12/7/2010 13:16,2.95,15002.0,United Kingdom,49,12,56.050000000000004,49.0,5.0,2.95
252898,537607,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/7/2010 13:18,2.95,15965.0,United Kingdom,49,12,17.700000000000003,49.0,19.0,2.95
93789,537612,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/7/2010 13:28,2.95,13769.0,United Kingdom,49,12,17.700000000000003,49.0,6.0,2.95
94698,537619,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/7/2010 13:53,2.55,13786.0,United Kingdom,49,12,81.6,49.0,6.0,2.95
411670,537638,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/7/2010 15:28,5.91,,United Kingdom,49,12,23.64,49.0,32.0,2.55
411842,537640,85123a,WHITE HANGING HEART T-LIGHT HOLDER,46,12/7/2010 15:31,6.77,,United Kingdom,49,12,311.41999999999996,49.0,4.0,5.91
263759,537650,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/7/2010 15:48,2.95,16125.0,United Kingdom,49,12,35.400000000000006,49.0,46.0,6.77
199960,537655,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/7/2010 16:20,2.95,15081.0,United Kingdom,49,12,17.700000000000003,49.0,12.0,2.95
412606,537666,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/7/2010 18:36,5.91,,United Kingdom,49,12,29.55,49.0,6.0,2.95
309164,537669,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/8/2010 8:58,2.95,16863.0,United Kingdom,49,12,35.400000000000006,49.0,5.0,5.91
233719,537674,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/8/2010 9:51,2.95,15628.0,United Kingdom,49,12,17.700000000000003,49.0,12.0,2.95
261560,537754,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/8/2010 11:16,2.95,16081.0,United Kingdom,49,12,8.850000000000001,49.0,6.0,2.95
286281,537755,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/8/2010 11:31,2.55,16525.0,United Kingdom,49,12,81.6,49.0,3.0,2.95
310917,537764,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/8/2010 12:06,2.95,16893.0,United Kingdom,49,12,2.95,49.0,32.0,2.55
191915,537769,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/8/2010 12:17,2.95,15021.0,United Kingdom,49,12,5.9,49.0,1.0,2.95
191902,537769,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/8/2010 12:17,2.95,15021.0,United Kingdom,49,12,2.95,49.0,2.0,2.95
257407,537773,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/8/2010 12:36,2.95,16016.0,United Kingdom,49,12,2.95,49.0,1.0,2.95
330581,537795,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/8/2010 13:03,2.95,17213.0,United Kingdom,49,12,35.400000000000006,49.0,1.0,2.95
412979,537823,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/8/2010 14:25,5.91,,United Kingdom,49,12,11.82,49.0,12.0,2.95
236492,537828,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/8/2010 14:43,2.95,15680.0,United Kingdom,49,12,35.400000000000006,49.0,2.0,5.91
386013,537831,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/8/2010 14:50,2.95,17894.0,United Kingdom,49,12,17.700000000000003,49.0,12.0,2.95
58617,537842,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/8/2010 15:12,2.95,13140.0,United Kingdom,49,12,14.75,49.0,6.0,2.95
238232,537843,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/8/2010 15:16,2.95,15713.0,United Kingdom,49,12,35.400000000000006,49.0,5.0,2.95
361209,537866,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/8/2010 16:45,2.55,17655.0,United Kingdom,49,12,81.6,49.0,12.0,2.95
297855,537867,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/8/2010 16:48,2.95,16717.0,United Kingdom,49,12,35.400000000000006,49.0,32.0,2.55
128135,537879,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/9/2010 8:34,2.95,14243.0,United Kingdom,49,12,17.700000000000003,49.0,12.0,2.95
342824,537898,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,12/9/2010 10:42,2.95,17377.0,United Kingdom,49,12,29.5,49.0,6.0,2.95
304512,537955,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,12/9/2010 11:28,2.95,16782.0,United Kingdom,49,12,41.300000000000004,49.0,10.0,2.95
71856,537963,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/9/2010 11:30,2.95,13369.0,United Kingdom,49,12,35.400000000000006,49.0,14.0,2.95
189509,538006,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/9/2010 12:13,2.55,14987.0,United Kingdom,49,12,81.6,49.0,12.0,2.95
143831,538032,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/9/2010 12:59,2.95,14479.0,United Kingdom,49,12,17.700000000000003,49.0,32.0,2.55
261158,538035,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,12/9/2010 13:03,2.95,16065.0,United Kingdom,49,12,23.6,49.0,6.0,2.95
247038,538053,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/9/2010 13:34,2.55,15856.0,United Kingdom,49,12,81.6,49.0,8.0,2.95
209000,538064,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,12/9/2010 13:47,2.95,15271.0,United Kingdom,49,12,23.6,49.0,32.0,2.55
103371,538065,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/9/2010 13:57,2.55,13982.0,United Kingdom,49,12,81.6,49.0,8.0,2.95
414095,538071,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,12/9/2010 14:09,5.91,,United Kingdom,49,12,41.370000000000005,49.0,32.0,2.55
40600,538086,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,12/9/2010 14:44,2.95,12872.0,United Kingdom,49,12,41.300000000000004,49.0,7.0,5.91
325576,538095,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/9/2010 14:55,2.95,17097.0,Spain,49,12,2.95,49.0,14.0,2.95
206396,538145,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/9/2010 16:08,2.95,15211.0,United Kingdom,49,12,17.700000000000003,49.0,1.0,2.95
354293,538157,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/9/2010 16:57,2.95,17576.0,United Kingdom,49,12,11.8,49.0,6.0,2.95
389420,538166,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/9/2010 18:09,2.95,17965.0,United Kingdom,49,12,8.850000000000001,49.0,4.0,2.95
362419,538176,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,12/10/2010 9:48,2.55,17675.0,United Kingdom,49,12,163.2,49.0,3.0,2.95
415043,538177,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/10/2010 9:51,5.91,,United Kingdom,49,12,5.91,49.0,64.0,2.55
374130,538182,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/10/2010 10:18,2.95,17827.0,United Kingdom,49,12,17.700000000000003,49.0,1.0,5.91
46324,538186,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/10/2010 10:26,2.95,13000.0,United Kingdom,49,12,35.400000000000006,49.0,6.0,2.95
371355,538190,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/10/2010 10:47,2.95,17790.0,United Kingdom,49,12,14.75,49.0,12.0,2.95
374180,538198,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/10/2010 11:01,2.95,17827.0,United Kingdom,49,12,8.850000000000001,49.0,5.0,2.95
396969,538248,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/10/2010 12:14,2.95,18116.0,United Kingdom,49,12,11.8,49.0,3.0,2.95
397520,538250,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,12/10/2010 12:20,2.95,18118.0,United Kingdom,49,12,23.6,49.0,4.0,2.95
257646,538252,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/10/2010 12:29,2.55,16019.0,United Kingdom,49,12,81.6,49.0,8.0,2.95
401257,538260,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/10/2010 12:42,2.95,18178.0,United Kingdom,49,12,17.700000000000003,49.0,32.0,2.55
58857,538296,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/10/2010 13:06,2.95,13148.0,United Kingdom,49,12,17.700000000000003,49.0,6.0,2.95
299035,538312,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/10/2010 13:48,2.95,16727.0,United Kingdom,49,12,17.700000000000003,49.0,6.0,2.95
415653,538349,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/10/2010 14:59,5.91,,United Kingdom,49,12,70.92,49.0,6.0,2.95
415849,538351,85123a,WHITE HANGING HEART T-LIGHT HOLDER,31,12/10/2010 15:17,6.77,,United Kingdom,49,12,209.86999999999998,49.0,12.0,5.91
314166,538370,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/12/2010 11:06,2.95,16923.0,United Kingdom,49,12,8.850000000000001,49.0,31.0,6.77
121967,538374,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/12/2010 11:17,2.95,14159.0,United Kingdom,49,12,5.9,49.0,3.0,2.95
326955,538379,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/12/2010 11:26,2.95,17126.0,United Kingdom,49,12,5.9,49.0,2.0,2.95
326941,538379,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/12/2010 11:26,2.95,17126.0,United Kingdom,49,12,2.95,49.0,2.0,2.95
330396,538403,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/12/2010 11:46,2.95,17211.0,United Kingdom,49,12,17.700000000000003,49.0,1.0,2.95
256483,538437,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/12/2010 12:18,2.95,16010.0,United Kingdom,49,12,8.850000000000001,49.0,6.0,2.95
324656,538449,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/12/2010 12:24,2.95,17085.0,United Kingdom,49,12,17.700000000000003,49.0,3.0,2.95
87797,538473,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/12/2010 12:35,2.95,13668.0,United Kingdom,49,12,8.850000000000001,49.0,6.0,2.95
164747,538497,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/12/2010 12:44,2.95,14684.0,United Kingdom,49,12,2.95,49.0,3.0,2.95
255161,538508,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/12/2010 13:32,2.95,15998.0,United Kingdom,49,12,17.700000000000003,49.0,1.0,2.95
196399,538514,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/12/2010 14:27,2.95,15044.0,United Kingdom,49,12,17.700000000000003,49.0,6.0,2.95
145927,538518,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/12/2010 16:14,2.95,14505.0,United Kingdom,49,12,8.850000000000001,49.0,6.0,2.95
416315,538524,85123A,WHITE HANGING HEART T-LIGHT HOLDER,27,12/13/2010 9:35,5.91,,United Kingdom,50,12,159.57,49.0,3.0,2.95
130261,538529,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/13/2010 10:24,2.95,14290.0,United Kingdom,50,12,35.400000000000006,50.0,27.0,5.91
62189,538532,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/13/2010 10:31,2.95,13209.0,United Kingdom,50,12,17.700000000000003,50.0,12.0,2.95
173448,538533,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/13/2010 10:31,2.55,14796.0,United Kingdom,50,12,81.6,50.0,6.0,2.95
416793,538566,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,12/13/2010 11:21,5.91,,United Kingdom,50,12,41.370000000000005,50.0,32.0,2.55
246821,538592,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/13/2010 11:47,2.95,15854.0,United Kingdom,50,12,11.8,50.0,7.0,5.91
390900,538596,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/13/2010 12:10,2.95,17990.0,United Kingdom,50,12,17.700000000000003,50.0,4.0,2.95
338553,538626,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,12/13/2010 12:57,2.95,17338.0,United Kingdom,50,12,38.35,50.0,6.0,2.95
111147,538634,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/13/2010 13:28,2.95,14085.0,United Kingdom,50,12,11.8,50.0,13.0,2.95
336616,538635,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/13/2010 13:32,2.95,17303.0,United Kingdom,50,12,5.9,50.0,4.0,2.95
234223,538641,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/13/2010 14:36,2.55,15640.0,United Kingdom,50,12,81.6,50.0,2.0,2.95
170058,538664,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,12/13/2010 15:46,2.55,14733.0,United Kingdom,50,12,163.2,50.0,32.0,2.55
242424,538671,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/13/2010 16:38,2.55,15777.0,United Kingdom,50,12,81.6,50.0,64.0,2.55
147687,538683,85123A,WHITE HANGING HEART T-LIGHT HOLDER,96,12/13/2010 17:40,2.55,14525.0,United Kingdom,50,12,244.79999999999998,50.0,32.0,2.55
386021,538707,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/14/2010 10:38,2.95,17894.0,United Kingdom,50,12,14.75,50.0,96.0,2.55
394529,538710,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/14/2010 10:48,2.95,18075.0,United Kingdom,50,12,35.400000000000006,50.0,5.0,2.95
214958,538744,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/14/2010 11:26,2.95,15356.0,United Kingdom,50,12,11.8,50.0,12.0,2.95
194923,538799,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/14/2010 11:48,2.95,15039.0,United Kingdom,50,12,11.8,50.0,4.0,2.95
