,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,week,month,revenue,lag_q,lag_unit_price,lag_week
19160,554699,23084,RABBIT NIGHT LIGHT,6,5/26/2011 9:17,2.08,12613.0,Germany,21,5,12.48,1.0,4.13,21.0
61843,554818,23084,RABBIT NIGHT LIGHT,12,5/26/2011 14:09,2.08,13199.0,United Kingdom,21,5,24.96,6.0,2.08,21.0
160354,554827,23084,RABBIT NIGHT LIGHT,240,5/26/2011 15:19,2.08,14646.0,Netherlands,21,5,499.20000000000005,12.0,2.08,21.0
108717,554839,23084,RABBIT NIGHT LIGHT,5,5/26/2011 17:15,2.08,14056.0,United Kingdom,21,5,10.4,240.0,2.08,21.0
321207,554858,23084,RABBIT NIGHT LIGHT,6,5/27/2011 10:15,2.08,17042.0,United Kingdom,21,5,12.48,5.0,2.08,21.0
21040,554861,23084,RABBIT NIGHT LIGHT,6,5/27/2011 10:29,2.08,12633.0,Germany,21,5,12.48,6.0,2.08,21.0
11910,554940,23084,RABBIT NIGHT LIGHT,6,5/27/2011 13:49,2.08,12494.0,France,21,5,12.48,6.0,2.08,21.0
377042,554942,23084,RABBIT NIGHT LIGHT,2,5/27/2011 14:01,2.08,17841.0,United Kingdom,21,5,4.16,6.0,2.08,21.0
112355,554949,23084,RABBIT NIGHT LIGHT,12,5/27/2011 14:44,2.08,14092.0,United Kingdom,21,5,24.96,2.0,2.08,21.0
466319,554958,23084,RABBIT NIGHT LIGHT,1,5/27/2011 15:17,4.13,,United Kingdom,21,5,4.13,12.0,2.08,21.0
294742,554992,23084,RABBIT NIGHT LIGHT,3,5/29/2011 14:08,2.08,16686.0,United Kingdom,21,5,6.24,1.0,4.13,21.0
294736,554992,23084,RABBIT NIGHT LIGHT,1,5/29/2011 14:08,2.08,16686.0,United Kingdom,21,5,2.08,3.0,2.08,21.0
301287,554997,23084,RABBIT NIGHT LIGHT,6,5/29/2011 15:35,2.08,16746.0,United Kingdom,21,5,12.48,1.0,2.08,21.0
24511,555096,23084,RABBIT NIGHT LIGHT,72,5/31/2011 13:32,1.79,12682.0,France,22,5,128.88,6.0,2.08,21.0
377111,555110,23084,RABBIT NIGHT LIGHT,1,5/31/2011 14:34,2.08,17841.0,United Kingdom,22,5,2.08,72.0,1.79,22.0
377093,555110,23084,RABBIT NIGHT LIGHT,1,5/31/2011 14:34,2.08,17841.0,United Kingdom,22,5,2.08,1.0,2.08,22.0
466551,555149,23084,RABBIT NIGHT LIGHT,2,5/31/2011 15:49,4.13,,United Kingdom,22,5,8.26,1.0,2.08,22.0
466746,555150,23084,RABBIT NIGHT LIGHT,1,5/31/2011 15:53,4.13,,United Kingdom,22,5,4.13,2.0,4.13,22.0
5118,555161,23084,RABBIT NIGHT LIGHT,24,6/1/2011 9:26,1.79,12423.0,Belgium,22,6,42.96,1.0,4.13,22.0
207663,555195,23084,RABBIT NIGHT LIGHT,6,6/1/2011 11:27,2.08,15240.0,United Kingdom,22,6,12.48,24.0,1.79,22.0
174830,555245,23084,RABBIT NIGHT LIGHT,3,6/1/2011 14:12,2.08,14800.0,United Kingdom,22,6,6.24,6.0,2.08,22.0
466924,555275,23084,RABBIT NIGHT LIGHT,2,6/1/2011 17:18,4.13,,United Kingdom,22,6,8.26,3.0,2.08,22.0
467152,555276,23084,RABBIT NIGHT LIGHT,1,6/1/2011 17:28,4.13,,United Kingdom,22,6,4.13,2.0,4.13,22.0
467322,555277,23084,RABBIT NIGHT LIGHT,1,6/1/2011 17:30,4.13,,United Kingdom,22,6,4.13,1.0,4.13,22.0
467388,555278,23084,RABBIT NIGHT LIGHT,3,6/1/2011 17:33,4.13,,United Kingdom,22,6,12.39,1.0,4.13,22.0
131635,555284,23084,RABBIT NIGHT LIGHT,12,6/2/2011 9:37,2.08,14298.0,United Kingdom,22,6,24.96,3.0,4.13,22.0
212324,555344,23084,RABBIT NIGHT LIGHT,2,6/2/2011 11:45,2.08,15311.0,United Kingdom,22,6,4.16,12.0,2.08,22.0
467969,555397,23084,RABBIT NIGHT LIGHT,3,6/2/2011 17:26,4.13,,United Kingdom,22,6,12.39,2.0,2.08,22.0
468183,555510,23084,RABBIT NIGHT LIGHT,1,6/3/2011 17:09,4.13,,United Kingdom,22,6,4.13,3.0,4.13,22.0
468299,555722,23084,RABBIT NIGHT LIGHT,2,6/6/2011 16:06,4.13,,United Kingdom,23,6,8.26,1.0,4.13,22.0
108761,556106,23084,RABBIT NIGHT LIGHT,10,6/8/2011 16:54,2.08,14056.0,United Kingdom,23,6,20.8,2.0,4.13,23.0
66469,556112,23084,RABBIT NIGHT LIGHT,6,6/9/2011 9:28,2.08,13265.0,United Kingdom,23,6,12.48,10.0,2.08,23.0
18043,556119,23084,RABBIT NIGHT LIGHT,24,6/9/2011 10:05,1.79,12594.0,Italy,23,6,42.96,6.0,2.08,23.0
247013,556121,23084,RABBIT NIGHT LIGHT,6,6/9/2011 10:09,2.08,15855.0,United Kingdom,23,6,12.48,24.0,1.79,23.0
3347,556127,23084,RABBIT NIGHT LIGHT,12,6/9/2011 10:23,2.08,12406.0,Denmark,23,6,24.96,6.0,2.08,23.0
11102,556194,23084,RABBIT NIGHT LIGHT,24,6/9/2011 12:20,1.79,12483.0,Sweden,23,6,42.96,12.0,2.08,23.0
266328,556199,23084,RABBIT NIGHT LIGHT,6,6/9/2011 12:40,2.08,16170.0,United Kingdom,23,6,12.48,24.0,1.79,23.0
86,556201,23084,RABBIT NIGHT LIGHT,12,6/9/2011 13:01,2.08,12347.0,Iceland,23,6,24.96,6.0,2.08,23.0
3249,556203,23084,RABBIT NIGHT LIGHT,12,6/9/2011 13:09,2.08,12399.0,Belgium,23,6,24.96,12.0,2.08,23.0
106953,556208,23084,RABBIT NIGHT LIGHT,6,6/9/2011 13:51,2.08,14040.0,United Kingdom,23,6,12.48,12.0,2.08,23.0
367055,556218,23084,RABBIT NIGHT LIGHT,12,6/9/2011 14:18,2.08,17731.0,United Kingdom,23,6,24.96,6.0,2.08,23.0
367068,556219,23084,RABBIT NIGHT LIGHT,12,6/9/2011 14:19,2.08,17731.0,United Kingdom,23,6,24.96,12.0,2.08,23.0
344349,556230,23084,RABBIT NIGHT LIGHT,6,6/9/2011 14:45,2.08,17402.0,United Kingdom,23,6,12.48,12.0,2.08,23.0
18149,556241,23084,RABBIT NIGHT LIGHT,6,6/9/2011 16:04,2.08,12597.0,Spain,23,6,12.48,6.0,2.08,23.0
249112,556244,23084,RABBIT NIGHT LIGHT,7,6/9/2011 16:08,2.08,15867.0,United Kingdom,23,6,14.56,6.0,2.08,23.0
236595,556248,23084,RABBIT NIGHT LIGHT,12,6/9/2011 16:33,2.08,15681.0,United Kingdom,23,6,24.96,7.0,2.08,23.0
133064,556256,23084,RABBIT NIGHT LIGHT,6,6/9/2011 17:37,2.08,14309.0,United Kingdom,23,6,12.48,12.0,2.08,23.0
152534,556279,23084,RABBIT NIGHT LIGHT,1,6/9/2011 19:55,2.08,14562.0,United Kingdom,23,6,2.08,6.0,2.08,23.0
153584,556329,23084,RABBIT NIGHT LIGHT,2,6/10/2011 11:28,2.08,14573.0,United Kingdom,23,6,4.16,1.0,2.08,23.0
225947,556416,23084,RABBIT NIGHT LIGHT,1,6/10/2011 12:19,2.08,15527.0,United Kingdom,23,6,2.08,2.0,2.08,23.0
110668,556437,23084,RABBIT NIGHT LIGHT,12,6/10/2011 14:31,2.08,14077.0,United Kingdom,23,6,24.96,1.0,2.08,23.0
316440,556484,23084,RABBIT NIGHT LIGHT,2,6/12/2011 13:17,2.08,16938.0,United Kingdom,23,6,4.16,12.0,2.08,23.0
16347,556507,23084,RABBIT NIGHT LIGHT,6,6/13/2011 9:55,2.08,12567.0,France,24,6,12.48,2.0,2.08,23.0
182119,556510,23084,RABBIT NIGHT LIGHT,6,6/13/2011 10:36,2.08,14911.0,EIRE,24,6,12.48,6.0,2.08,24.0
268198,556527,23084,RABBIT NIGHT LIGHT,2,6/13/2011 11:33,2.08,16205.0,United Kingdom,24,6,4.16,6.0,2.08,24.0
27525,556529,23084,RABBIT NIGHT LIGHT,24,6/13/2011 11:41,1.79,12714.0,France,24,6,42.96,2.0,2.08,24.0
9223,556578,23084,RABBIT NIGHT LIGHT,24,6/13/2011 14:13,1.79,12472.0,Germany,24,6,42.96,24.0,1.79,24.0
206711,556721,23084,RABBIT NIGHT LIGHT,1,6/14/2011 11:23,2.08,15218.0,United Kingdom,24,6,2.08,24.0,1.79,24.0
471128,556813,23084,RABBIT NIGHT LIGHT,2,6/14/2011 17:28,4.13,,United Kingdom,24,6,8.26,1.0,2.08,24.0
24529,556819,23084,RABBIT NIGHT LIGHT,96,6/15/2011 10:21,1.79,12682.0,France,24,6,171.84,2.0,4.13,24.0
355007,556892,23084,RABBIT NIGHT LIGHT,6,6/15/2011 12:50,2.08,17581.0,United Kingdom,24,6,12.48,96.0,1.79,24.0
4218,556917,23084,RABBIT NIGHT LIGHT,240,6/15/2011 13:37,1.79,12415.0,Australia,24,6,429.6,6.0,2.08,24.0
471461,556924,23084,RABBIT NIGHT LIGHT,24,6/15/2011 14:14,1.79,,France,24,6,42.96,240.0,1.79,24.0
232678,556929,23084,RABBIT NIGHT LIGHT,24,6/15/2011 15:12,1.79,15611.0,United Kingdom,24,6,42.96,24.0,1.79,24.0
360198,557021,23084,RABBIT NIGHT LIGHT,6,6/16/2011 12:55,2.08,17642.0,United Kingdom,24,6,12.48,24.0,1.79,24.0
15892,557069,23084,RABBIT NIGHT LIGHT,24,6/16/2011 15:22,1.79,12562.0,France,24,6,42.96,6.0,2.08,24.0
471862,557112,23084,RABBIT NIGHT LIGHT,2,6/16/2011 16:31,4.13,,United Kingdom,24,6,8.26,24.0,1.79,24.0
235693,557120,23084,RABBIT NIGHT LIGHT,6,6/16/2011 17:12,2.08,15669.0,United Kingdom,24,6,12.48,2.0,4.13,24.0
56023,557132,23084,RABBIT NIGHT LIGHT,12,6/17/2011 8:57,2.08,13107.0,United Kingdom,24,6,24.96,6.0,2.08,24.0
54237,557143,23084,RABBIT NIGHT LIGHT,6,6/17/2011 10:12,2.08,13090.0,United Kingdom,24,6,12.48,12.0,2.08,24.0
3582,557147,23084,RABBIT NIGHT LIGHT,6,6/17/2011 10:51,2.08,12408.0,Belgium,24,6,12.48,6.0,2.08,24.0
266431,557208,23084,RABBIT NIGHT LIGHT,6,6/17/2011 11:38,2.08,16172.0,United Kingdom,24,6,12.48,6.0,2.08,24.0
363331,557214,23084,RABBIT NIGHT LIGHT,48,6/17/2011 12:20,1.79,17677.0,United Kingdom,24,6,85.92,6.0,2.08,24.0
54853,557268,23084,RABBIT NIGHT LIGHT,4,6/19/2011 11:26,2.08,13097.0,United Kingdom,24,6,8.32,48.0,1.79,24.0
370254,557271,23084,RABBIT NIGHT LIGHT,7,6/19/2011 11:41,2.08,17769.0,United Kingdom,24,6,14.56,4.0,2.08,24.0
295629,557280,23084,RABBIT NIGHT LIGHT,48,6/19/2011 12:19,1.79,16701.0,United Kingdom,24,6,85.92,7.0,2.08,24.0
28537,557295,23084,RABBIT NIGHT LIGHT,12,6/19/2011 13:37,2.08,12724.0,France,24,6,24.96,48.0,1.79,24.0
472106,557324,23084,RABBIT NIGHT LIGHT,1,6/20/2011 9:41,4.13,,United Kingdom,25,6,4.13,12.0,2.08,24.0
160488,557328,23084,RABBIT NIGHT LIGHT,1,6/20/2011 9:53,2.08,14646.0,Netherlands,25,6,2.08,1.0,4.13,25.0
130451,557330,23084,RABBIT NIGHT LIGHT,6,6/20/2011 10:20,2.08,14291.0,United Kingdom,25,6,12.48,1.0,2.08,25.0
175191,557442,23084,RABBIT NIGHT LIGHT,4,6/20/2011 12:53,2.08,14808.0,United Kingdom,25,6,8.32,6.0,2.08,25.0
297388,557468,23084,RABBIT NIGHT LIGHT,3,6/20/2011 13:14,2.08,16713.0,United Kingdom,25,6,6.24,4.0,2.08,25.0
11650,557489,23084,RABBIT NIGHT LIGHT,24,6/20/2011 14:58,1.79,12490.0,France,25,6,42.96,3.0,2.08,25.0
61856,557490,23084,RABBIT NIGHT LIGHT,48,6/20/2011 15:06,1.79,13199.0,United Kingdom,25,6,85.92,24.0,1.79,25.0
472575,557500,23084,RABBIT NIGHT LIGHT,8,6/20/2011 15:27,4.13,,United Kingdom,25,6,33.04,48.0,1.79,25.0
472768,557502,23084,RABBIT NIGHT LIGHT,6,6/20/2011 15:32,4.13,,United Kingdom,25,6,24.78,8.0,4.13,25.0
205455,557529,23084,RABBIT NIGHT LIGHT,24,6/21/2011 9:58,1.79,15189.0,United Kingdom,25,6,42.96,6.0,4.13,25.0
389002,557622,23084,RABBIT NIGHT LIGHT,1,6/21/2011 14:15,2.08,17960.0,United Kingdom,25,6,2.08,24.0,1.79,25.0
60814,557630,23084,RABBIT NIGHT LIGHT,6,6/21/2011 14:53,2.08,13178.0,United Kingdom,25,6,12.48,1.0,2.08,25.0
232533,557667,23084,RABBIT NIGHT LIGHT,24,6/22/2011 8:30,1.79,15606.0,United Kingdom,25,6,42.96,6.0,2.08,25.0
23253,557669,23084,RABBIT NIGHT LIGHT,24,6/22/2011 9:43,1.79,12674.0,France,25,6,42.96,24.0,1.79,25.0
36941,557670,23084,RABBIT NIGHT LIGHT,288,6/22/2011 10:11,1.79,12798.0,Japan,25,6,515.52,24.0,1.79,25.0
243797,557676,23084,RABBIT NIGHT LIGHT,12,6/22/2011 10:28,2.08,15804.0,United Kingdom,25,6,24.96,288.0,1.79,25.0
240840,557745,23084,RABBIT NIGHT LIGHT,2,6/22/2011 12:16,2.08,15750.0,United Kingdom,25,6,4.16,12.0,2.08,25.0
77577,557749,23084,RABBIT NIGHT LIGHT,24,6/22/2011 12:44,1.79,13477.0,United Kingdom,25,6,42.96,2.0,2.08,25.0
196380,557787,23084,RABBIT NIGHT LIGHT,1,6/22/2011 16:16,2.08,15041.0,United Kingdom,25,6,2.08,24.0,1.79,25.0
26252,557803,23084,RABBIT NIGHT LIGHT,12,6/23/2011 10:20,2.08,12704.0,Finland,25,6,24.96,1.0,2.08,25.0
372099,557886,23084,RABBIT NIGHT LIGHT,8,6/23/2011 13:39,2.08,17799.0,United Kingdom,25,6,16.64,12.0,2.08,25.0
358230,557896,23084,RABBIT NIGHT LIGHT,2,6/23/2011 14:22,2.08,17611.0,United Kingdom,25,6,4.16,8.0,2.08,25.0
473488,557937,23084,RABBIT NIGHT LIGHT,3,6/23/2011 15:30,4.13,,United Kingdom,25,6,12.39,2.0,2.08,25.0
473640,557938,23084,RABBIT NIGHT LIGHT,2,6/23/2011 15:35,4.13,,United Kingdom,25,6,8.26,3.0,4.13,25.0
106450,558027,23084,RABBIT NIGHT LIGHT,24,6/24/2011 11:08,1.79,14032.0,United Kingdom,25,6,42.96,2.0,4.13,25.0
133082,558040,23084,RABBIT NIGHT LIGHT,48,6/24/2011 12:51,1.79,14309.0,United Kingdom,25,6,85.92,24.0,1.79,25.0
19304,558045,23084,RABBIT NIGHT LIGHT,12,6/24/2011 13:35,2.08,12615.0,France,25,6,24.96,48.0,1.79,25.0
344357,558079,23084,RABBIT NIGHT LIGHT,24,6/26/2011 11:01,1.79,17402.0,United Kingdom,25,6,42.96,12.0,2.08,25.0
176303,558084,23084,RABBIT NIGHT LIGHT,6,6/26/2011 11:47,2.08,14837.0,United Kingdom,25,6,12.48,24.0,1.79,25.0
235002,558105,23084,RABBIT NIGHT LIGHT,3,6/26/2011 14:54,2.08,15644.0,United Kingdom,25,6,6.24,6.0,2.08,25.0
11876,558124,23084,RABBIT NIGHT LIGHT,12,6/27/2011 10:17,2.08,12493.0,France,26,6,24.96,3.0,2.08,25.0
153897,558194,23084,RABBIT NIGHT LIGHT,1,6/27/2011 12:28,2.08,14583.0,United Kingdom,26,6,2.08,12.0,2.08,26.0
377615,558232,23084,RABBIT NIGHT LIGHT,1,6/27/2011 14:30,2.08,17841.0,United Kingdom,26,6,2.08,1.0,2.08,26.0
474370,558240,23084,RABBIT NIGHT LIGHT,1,6/27/2011 15:27,4.13,,United Kingdom,26,6,4.13,1.0,2.08,26.0
474457,558316,23084,RABBIT NIGHT LIGHT,2,6/28/2011 11:45,4.13,,United Kingdom,26,6,8.26,1.0,4.13,26.0
232680,558421,23084,RABBIT NIGHT LIGHT,24,6/29/2011 11:47,1.79,15611.0,United Kingdom,26,6,42.96,2.0,4.13,26.0
475105,558475,23084,RABBIT NIGHT LIGHT,25,6/29/2011 15:58,4.13,,United Kingdom,26,6,103.25,24.0,1.79,26.0
475437,558485,23084,RABBIT NIGHT LIGHT,1,6/30/2011 10:11,2.08,,United Kingdom,26,6,2.08,25.0,4.13,26.0
98589,558501,23084,RABBIT NIGHT LIGHT,6,6/30/2011 10:19,2.08,13871.0,United Kingdom,26,6,12.48,1.0,2.08,26.0
109600,558564,23084,RABBIT NIGHT LIGHT,40,6/30/2011 13:45,1.79,14057.0,United Kingdom,26,6,71.6,6.0,2.08,26.0
320331,558571,23084,RABBIT NIGHT LIGHT,48,6/30/2011 14:46,1.79,17017.0,United Kingdom,26,6,85.92,40.0,1.79,26.0
